Enhanced lrslib ray discovery log
Started: 2025-07-25 15:02:39
Input: n6data/n6_restart_startingcobasis.ine
Output: n6data/new_rays_from_1381_enhanced.ext
============================================================

[2025-07-25 15:02:39] 🚀 STARTING: Enhanced lrslib ray discovery
[2025-07-25 15:02:39] 📁 INPUT: n6data/n6_restart_startingcobasis.ine
[2025-07-25 15:02:39] 📁 OUTPUT: n6data/new_rays_from_1381_enhanced.ext
[2025-07-25 15:02:39] 📁 LOG: n6data/ray_discovery_enhanced.log
[2025-07-25 15:02:39] 📊 INPUT SIZE: 1220.1 MB
[2025-07-25 15:02:39] ⚡ LAUNCHING: lrslib process with monitoring
[2025-07-25 15:55:40] ⏰ PROGRESS: 3181s elapsed, 0 rays found
[2025-07-25 15:56:10] ⏰ PROGRESS: 3211s elapsed, 0 rays found
[2025-07-25 15:56:40] ⏰ PROGRESS: 3241s elapsed, 0 rays found
[2025-07-25 15:57:10] ⏰ PROGRESS: 3271s elapsed, 0 rays found
[2025-07-25 15:57:40] ⏰ PROGRESS: 3301s elapsed, 0 rays found
[2025-07-25 15:58:10] ⏰ PROGRESS: 3331s elapsed, 0 rays found
[2025-07-25 15:58:40] ⏰ PROGRESS: 3361s elapsed, 0 rays found
[2025-07-25 15:59:10] ⏰ PROGRESS: 3391s elapsed, 0 rays found
[2025-07-25 15:59:40] ⏰ PROGRESS: 3421s elapsed, 0 rays found
[2025-07-25 16:00:10] ⏰ PROGRESS: 3451s elapsed, 0 rays found
[2025-07-25 16:00:40] ⏰ PROGRESS: 3481s elapsed, 0 rays found
[2025-07-25 16:01:10] ⏰ PROGRESS: 3511s elapsed, 0 rays found
[2025-07-25 16:01:40] ⏰ PROGRESS: 3541s elapsed, 0 rays found
[2025-07-25 16:02:10] ⏰ PROGRESS: 3571s elapsed, 0 rays found
[2025-07-25 16:02:40] ⏰ PROGRESS: 3601s elapsed, 0 rays found
[2025-07-25 16:03:10] ⏰ PROGRESS: 3631s elapsed, 0 rays found
[2025-07-25 16:03:40] ⏰ PROGRESS: 3661s elapsed, 0 rays found
[2025-07-25 16:04:10] ⏰ PROGRESS: 3691s elapsed, 0 rays found
[2025-07-25 16:04:40] ⏰ PROGRESS: 3721s elapsed, 0 rays found
[2025-07-25 16:05:10] ⏰ PROGRESS: 3751s elapsed, 0 rays found
[2025-07-25 16:05:40] ⏰ PROGRESS: 3781s elapsed, 0 rays found
[2025-07-25 16:06:10] ⏰ PROGRESS: 3811s elapsed, 0 rays found
[2025-07-25 16:06:40] ⏰ PROGRESS: 3841s elapsed, 0 rays found
[2025-07-25 16:07:10] ⏰ PROGRESS: 3871s elapsed, 0 rays found
[2025-07-25 16:07:40] ⏰ PROGRESS: 3901s elapsed, 0 rays found
[2025-07-25 16:08:10] ⏰ PROGRESS: 3931s elapsed, 0 rays found
[2025-07-25 16:08:40] ⏰ PROGRESS: 3961s elapsed, 0 rays found
[2025-07-25 16:09:10] ⏰ PROGRESS: 3991s elapsed, 0 rays found
[2025-07-25 16:09:40] ⏰ PROGRESS: 4021s elapsed, 0 rays found
[2025-07-25 16:10:10] ⏰ PROGRESS: 4051s elapsed, 0 rays found
